test,metodo,n_iter,trial,error_abs,error_rel,error_max
test_15_segundos,GS,0,0,0.343735897822641,0.3461535864570754,0.0009412192312609999
test_15_segundos,GS,0,1,0.343894536697886,0.3464048520595221,0.0009464593771139999
test_15_segundos,GS,0,2,0.343866480838222,0.34620785876045235,0.0009456335904759999
test_15_segundos,GS,0,3,0.343706571700176,0.34616273051007984,0.0009382935833339999
test_15_segundos,GS,0,4,0.34395973185750894,0.3462969394748392,0.0009491473199909999
test_15_segundos,GS,0,5,0.343730542958668,0.3460926319504416,0.0009419360412579998
test_15_segundos,GS,0,6,0.344014209662676,0.34639570395461944,0.0009505527037379999
test_15_segundos,GS,0,7,0.343603854790739,0.3459305955491643,0.0009408327514209998
test_15_segundos,GS,0,8,0.343579151312421,0.34604356813244336,0.0009452590084769999
test_15_segundos,GS,0,9,0.343646857136993,0.346168837167876,0.0009531554788379999
test_15_segundos,GS,1,0,0.167419316752107,0.15942130925370998,0.0005832182226089998
test_15_segundos,GS,1,1,0.167395103529911,0.15938394391715308,0.0005832987674499999
test_15_segundos,GS,1,2,0.167452337299074,0.15943861564017658,0.0005823561795519999
test_15_segundos,GS,1,3,0.167397585703436,0.15938736664913544,0.000582303002333
test_15_segundos,GS,1,4,0.167421967105043,0.15941145929057837,0.0005849607157749999
test_15_segundos,GS,1,5,0.167453636888177,0.15945543667938517,0.0005860782090789998
test_15_segundos,GS,1,6,0.167398202567599,0.15939425630936235,0.0005862650567859999
test_15_segundos,GS,1,7,0.167499707387569,0.15948317128966533,0.0005845532511859999
test_15_segundos,GS,1,8,0.167426677428873,0.15943260891366146,0.0005811828218289999
test_15_segundos,GS,1,9,0.167434983058976,0.15942342235461773,0.0005829785221849999
test_15_segundos,GS,2,0,0.09813493691827899,0.0924338918969587,0.00037632690954499993
test_15_segundos,GS,2,1,0.098145399604428,0.09244232117071416,0.0003767653159289999
test_15_segundos,GS,2,2,0.098134836077181,0.09243324723483655,0.0003770442644999999
test_15_segundos,GS,2,3,0.098120243150424,0.09242147841461545,0.00037707973119999985
test_15_segundos,GS,2,4,0.098146036340402,0.09244560663653276,0.0003768663790649999
test_15_segundos,GS,2,5,0.098147281550719,0.0924465448863048,0.0003771468946899999
test_15_segundos,GS,2,6,0.09813854442998698,0.09243948560917928,0.00037660397174299985
test_15_segundos,GS,2,7,0.098138649422068,0.09243782328381105,0.00037686689610299986
test_15_segundos,GS,2,8,0.098123215302636,0.09242466493959856,0.0003764823979339999
test_15_segundos,GS,2,9,0.09810606684694599,0.09240726753930437,0.00037660217518499994
test_15_segundos,GS,3,0,0.06451231754182199,0.06066167870334373,0.00024610296392999994
test_15_segundos,GS,3,1,0.064514625793409,0.06066354517298024,0.00024610363545499994
test_15_segundos,GS,3,2,0.064506659371902,0.06065598800493367,0.0002460593705809999
test_15_segundos,GS,3,3,0.064520441316742,0.060669545270516295,0.0002461262902059999
test_15_segundos,GS,3,4,0.064508263852442,0.06065800435727145,0.00024603692472199986
test_15_segundos,GS,3,5,0.064515243042523,0.06066429829550471,0.0002460800776199999
test_15_segundos,GS,3,6,0.064530864378861,0.06067902594050764,0.0002461947416289999
test_15_segundos,GS,3,7,0.06450256511643,0.06065284281350062,0.00024606516920899985
test_15_segundos,GS,3,8,0.064510122510238,0.06065933728867279,0.00024595074878699995
test_15_segundos,GS,3,9,0.06450210616760702,0.0606521708660572,0.00024600869565399993
test_15_segundos,GS,4,0,0.045338993283659,0.04263714398360649,0.00017142900849199992
test_15_segundos,GS,4,1,0.045348096027693005,0.04264571505501385,0.0001714658313199999
test_15_segundos,GS,4,2,0.04533210849744,0.04263079606752693,0.00017141380069899987
test_15_segundos,GS,4,3,0.045345973145572004,0.04264376175419045,0.00017147473614299987
test_15_segundos,GS,4,4,0.04533441793743,0.04263290828577435,0.00017140740573699993
test_15_segundos,GS,4,5,0.045336300069931,0.04263471982824807,0.00017142609971399988
test_15_segundos,GS,4,6,0.04533471188794799,0.042633111961964947,0.0001714073062719999
test_15_segundos,GS,4,7,0.045346165065063004,0.04264390818852132,0.00017146465350499987
