familia,rep,tam,dens,metodo,tiempo
aleatorio,0,3000,30,GS,188
aleatorio,1,3000,30,GS,192
aleatorio,2,3000,30,GS,179
aleatorio,3,3000,30,GS,178
aleatorio,4,3000,30,GS,179
aleatorio,5,3000,30,GS,178
aleatorio,6,3000,30,GS,179
aleatorio,7,3000,30,GS,179
aleatorio,8,3000,30,GS,180
aleatorio,9,3000,30,GS,249
aleatorio,0,3000,30,J,276
aleatorio,1,3000,30,J,278
aleatorio,2,3000,30,J,180
aleatorio,3,3000,30,J,186
aleatorio,4,3000,30,J,179
aleatorio,5,3000,30,J,186
aleatorio,6,3000,30,J,180
aleatorio,7,3000,30,J,180
aleatorio,8,3000,30,J,190
aleatorio,9,3000,30,J,244
aleatorio,0,3000,30,EG,15508
aleatorio,1,3000,30,EG,15752
aleatorio,2,3000,30,EG,15782
aleatorio,3,3000,30,EG,15673
aleatorio,4,3000,30,EG,15706
aleatorio,5,3000,30,EG,15744
aleatorio,6,3000,30,EG,15958
aleatorio,7,3000,30,EG,16738
aleatorio,8,3000,30,EG,15907
aleatorio,9,3000,30,EG,19694
aleatorio,0,3000,150,GS,179
aleatorio,1,3000,150,GS,180
aleatorio,2,3000,150,GS,179
aleatorio,3,3000,150,GS,182
aleatorio,4,3000,150,GS,180
aleatorio,5,3000,150,GS,180
aleatorio,6,3000,150,GS,183
aleatorio,7,3000,150,GS,271
aleatorio,8,3000,150,GS,180
aleatorio,9,3000,150,GS,239
aleatorio,0,3000,150,J,211
aleatorio,1,3000,150,J,211
aleatorio,2,3000,150,J,303
aleatorio,3,3000,150,J,303
aleatorio,4,3000,150,J,211
aleatorio,5,3000,150,J,213
aleatorio,6,3000,150,J,211
aleatorio,7,3000,150,J,220
aleatorio,8,3000,150,J,240
aleatorio,9,3000,150,J,295
aleatorio,0,3000,150,EG,17092
aleatorio,1,3000,150,EG,17314
aleatorio,2,3000,150,EG,17443
aleatorio,3,3000,150,EG,17635
aleatorio,4,3000,150,EG,17425
aleatorio,5,3000,150,EG,17230
aleatorio,6,3000,150,EG,17293
aleatorio,7,3000,150,EG,17355
aleatorio,8,3000,150,EG,17329
aleatorio,9,3000,150,EG,17396
aleatorio,0,3000,300,GS,211
aleatorio,1,3000,300,GS,213
aleatorio,2,3000,300,GS,222
aleatorio,3,3000,300,GS,212
aleatorio,4,3000,300,GS,211
aleatorio,5,3000,300,GS,228
aleatorio,6,3000,300,GS,306
aleatorio,7,3000,300,GS,296
aleatorio,8,3000,300,GS,225
aleatorio,9,3000,300,GS,237
aleatorio,0,3000,300,J,213
aleatorio,1,3000,300,J,212
aleatorio,2,3000,300,J,213
aleatorio,3,3000,300,J,216
aleatorio,4,3000,300,J,212
aleatorio,5,3000,300,J,219
aleatorio,6,3000,300,J,291
aleatorio,7,3000,300,J,216
aleatorio,8,3000,300,J,215
aleatorio,9,3000,300,J,213
aleatorio,0,3000,300,EG,19903
aleatorio,1,3000,300,EG,20249
aleatorio,2,3000,300,EG,20559
aleatorio,3,3000,300,EG,20321
aleatorio,4,3000,300,EG,20525
aleatorio,5,3000,300,EG,20132
aleatorio,6,3000,300,EG,19780
aleatorio,7,3000,300,EG,19873
aleatorio,8,3000,300,EG,20545
aleatorio,9,3000,300,EG,21557
aleatorio,0,3000,900,GS,225
aleatorio,1,3000,900,GS,229
aleatorio,2,3000,900,GS,222
aleatorio,3,3000,900,GS,223
aleatorio,4,3000,900,GS,232
aleatorio,5,3000,900,GS,223
aleatorio,6,3000,900,GS,233
aleatorio,7,3000,900,GS,230
aleatorio,8,3000,900,GS,315
aleatorio,9,3000,900,GS,223
aleatorio,0,3000,900,J,372
aleatorio,1,3000,900,J,321
aleatorio,2,3000,900,J,371
aleatorio,3,3000,900,J,316
aleatorio,4,3000,900,J,319
aleatorio,5,3000,900,J,324
aleatorio,6,3000,900,J,438
aleatorio,7,3000,900,J,323
aleatorio,8,3000,900,J,320
aleatorio,9,3000,900,J,321
aleatorio,0,3000,900,EG,26666
aleatorio,1,3000,900,EG,25867
aleatorio,2,3000,900,EG,26426
aleatorio,3,3000,900,EG,25663
aleatorio,4,3000,900,EG,25082
aleatorio,5,3000,900,EG,25727
aleatorio,6,3000,900,EG,25596
aleatorio,7,3000,900,EG,25718
aleatorio,8,3000,900,EG,26096
aleatorio,9,3000,900,EG,26045
aleatorio,0,3000,1500,GS,378
aleatorio,1,3000,1500,GS,371
aleatorio,2,3000,1500,GS,369
aleatorio,3,3000,1500,GS,376
aleatorio,4,3000,1500,GS,379
aleatorio,5,3000,1500,GS,389
aleatorio,6,3000,1500,GS,420
aleatorio,7,3000,1500,GS,440
aleatorio,8,3000,1500,GS,367
aleatorio,9,3000,1500,GS,372
aleatorio,0,3000,1500,J,518
aleatorio,1,3000,1500,J,534
aleatorio,2,3000,1500,J,517
aleatorio,3,3000,1500,J,522
aleatorio,4,3000,1500,J,521
aleatorio,5,3000,1500,J,526
