familia,rep,tam,dens,metodo,tiempo
todo_con_todo,0,100,0.01,GS,73
todo_con_todo,1,100,0.01,GS,130
todo_con_todo,2,100,0.01,GS,79
todo_con_todo,3,100,0.01,GS,87
todo_con_todo,4,100,0.01,GS,96
todo_con_todo,5,100,0.01,GS,79
todo_con_todo,6,100,0.01,GS,82
todo_con_todo,7,100,0.01,GS,75
todo_con_todo,8,100,0.01,GS,104
todo_con_todo,9,100,0.01,GS,77
todo_con_todo,0,100,0.01,J,101
todo_con_todo,1,100,0.01,J,107
todo_con_todo,2,100,0.01,J,108
todo_con_todo,3,100,0.01,J,103
todo_con_todo,4,100,0.01,J,122
todo_con_todo,5,100,0.01,J,107
todo_con_todo,6,100,0.01,J,100
todo_con_todo,7,100,0.01,J,100
todo_con_todo,8,100,0.01,J,105
todo_con_todo,9,100,0.01,J,104
todo_con_todo,0,100,0.01,EG,71
todo_con_todo,1,100,0.01,EG,68
todo_con_todo,2,100,0.01,EG,69
todo_con_todo,3,100,0.01,EG,69
todo_con_todo,4,100,0.01,EG,118
todo_con_todo,5,100,0.01,EG,71
todo_con_todo,6,100,0.01,EG,70
todo_con_todo,7,100,0.01,EG,72
todo_con_todo,8,100,0.01,EG,83
todo_con_todo,9,100,0.01,EG,70
todo_con_todo,0,100,0.05,GS,107
todo_con_todo,1,100,0.05,GS,103
todo_con_todo,2,100,0.05,GS,103
todo_con_todo,3,100,0.05,GS,105
todo_con_todo,4,100,0.05,GS,105
todo_con_todo,5,100,0.05,GS,108
todo_con_todo,6,100,0.05,GS,106
todo_con_todo,7,100,0.05,GS,126
todo_con_todo,8,100,0.05,GS,127
todo_con_todo,9,100,0.05,GS,108
todo_con_todo,0,100,0.05,J,151
todo_con_todo,1,100,0.05,J,191
todo_con_todo,2,100,0.05,J,150
todo_con_todo,3,100,0.05,J,156
todo_con_todo,4,100,0.05,J,157
todo_con_todo,5,100,0.05,J,149
todo_con_todo,6,100,0.05,J,169
todo_con_todo,7,100,0.05,J,156
todo_con_todo,8,100,0.05,J,166
todo_con_todo,9,100,0.05,J,153
todo_con_todo,0,100,0.05,EG,170
todo_con_todo,1,100,0.05,EG,191
todo_con_todo,2,100,0.05,EG,169
todo_con_todo,3,100,0.05,EG,231
todo_con_todo,4,100,0.05,EG,165
todo_con_todo,5,100,0.05,EG,167
todo_con_todo,6,100,0.05,EG,170
todo_con_todo,7,100,0.05,EG,207
todo_con_todo,8,100,0.05,EG,172
todo_con_todo,9,100,0.05,EG,172
todo_con_todo,0,100,0.1,GS,132
todo_con_todo,1,100,0.1,GS,152
todo_con_todo,2,100,0.1,GS,131
todo_con_todo,3,100,0.1,GS,147
todo_con_todo,4,100,0.1,GS,148
todo_con_todo,5,100,0.1,GS,137
todo_con_todo,6,100,0.1,GS,127
todo_con_todo,7,100,0.1,GS,283
todo_con_todo,8,100,0.1,GS,132
todo_con_todo,9,100,0.1,GS,157
todo_con_todo,0,100,0.1,J,195
todo_con_todo,1,100,0.1,J,202
todo_con_todo,2,100,0.1,J,214
todo_con_todo,3,100,0.1,J,220
todo_con_todo,4,100,0.1,J,222
todo_con_todo,5,100,0.1,J,200
todo_con_todo,6,100,0.1,J,217
todo_con_todo,7,100,0.1,J,211
todo_con_todo,8,100,0.1,J,201
todo_con_todo,9,100,0.1,J,198
todo_con_todo,0,100,0.1,EG,337
todo_con_todo,1,100,0.1,EG,329
todo_con_todo,2,100,0.1,EG,330
todo_con_todo,3,100,0.1,EG,317
todo_con_todo,4,100,0.1,EG,336
todo_con_todo,5,100,0.1,EG,320
todo_con_todo,6,100,0.1,EG,364
todo_con_todo,7,100,0.1,EG,334
todo_con_todo,8,100,0.1,EG,325
todo_con_todo,9,100,0.1,EG,332
todo_con_todo,0,100,0.3,GS,247
todo_con_todo,1,100,0.3,GS,387
todo_con_todo,2,100,0.3,GS,242
todo_con_todo,3,100,0.3,GS,263
todo_con_todo,4,100,0.3,GS,255
todo_con_todo,5,100,0.3,GS,257
todo_con_todo,6,100,0.3,GS,237
todo_con_todo,7,100,0.3,GS,238
todo_con_todo,8,100,0.3,GS,312
todo_con_todo,9,100,0.3,GS,238
todo_con_todo,0,100,0.3,J,376
todo_con_todo,1,100,0.3,J,382
todo_con_todo,2,100,0.3,J,388
todo_con_todo,3,100,0.3,J,373
todo_con_todo,4,100,0.3,J,340
todo_con_todo,5,100,0.3,J,374
todo_con_todo,6,100,0.3,J,467
todo_con_todo,7,100,0.3,J,404
todo_con_todo,8,100,0.3,J,426
todo_con_todo,9,100,0.3,J,382
todo_con_todo,0,100,0.3,EG,1229
todo_con_todo,1,100,0.3,EG,1151
todo_con_todo,2,100,0.3,EG,1112
todo_con_todo,3,100,0.3,EG,1145
todo_con_todo,4,100,0.3,EG,1132
todo_con_todo,5,100,0.3,EG,1126
todo_con_todo,6,100,0.3,EG,1127
todo_con_todo,7,100,0.3,EG,1127
todo_con_todo,8,100,0.3,EG,1351
todo_con_todo,9,100,0.3,EG,1124
todo_con_todo,0,100,0.5,GS,352
todo_con_todo,1,100,0.5,GS,351
todo_con_todo,2,100,0.5,GS,354
todo_con_todo,3,100,0.5,GS,375
todo_con_todo,4,100,0.5,GS,539
todo_con_todo,5,100,0.5,GS,471
todo_con_todo,6,100,0.5,GS,352
todo_con_todo,7,100,0.5,GS,371
todo_con_todo,8,100,0.5,GS,394
todo_con_todo,9,100,0.5,GS,356
todo_con_todo,0,100,0.5,J,606
todo_con_todo,1,100,0.5,J,598
todo_con_todo,2,100,0.5,J,1039
todo_con_todo,3,100,0.5,J,591
todo_con_todo,4,100,0.5,J,603
todo_con_todo,5,100,0.5,J,565
todo_con_todo,6,100,0.5,J,615
todo_con_todo,7,100,0.5,J,599
todo_con_todo,8,100,0.5,J,665
todo_con_todo,9,100,0.5,J,610
todo_con_todo,0,100,0.5,EG,2201
todo_con_todo,1,100,0.5,EG,2268
todo_con_todo,2,100,0.5,EG,2195
todo_con_todo,3,100,0.5,EG,2365
todo_con_todo,4,100,0.5,EG,2369
todo_con_todo,5,100,0.5,EG,2316
todo_con_todo,6,100,0.5,EG,2243
todo_con_todo,7,100,0.5,EG,2225
todo_con_todo,8,100,0.5,EG,2566
todo_con_todo,9,100,0.5,EG,2409
todo_con_todo,0,100,0.9,GS,522
todo_con_todo,1,100,0.9,GS,524
todo_con_todo,2,100,0.9,GS,497
todo_con_todo,3,100,0.9,GS,523
todo_con_todo,4,100,0.9,GS,500
todo_con_todo,5,100,0.9,GS,497
todo_con_todo,6,100,0.9,GS,501
todo_con_todo,7,100,0.9,GS,638
todo_con_todo,8,100,0.9,GS,572
todo_con_todo,9,100,0.9,GS,500
todo_con_todo,0,100,0.9,J,893
todo_con_todo,1,100,0.9,J,883
todo_con_todo,2,100,0.9,J,899
todo_con_todo,3,100,0.9,J,1029
todo_con_todo,4,100,0.9,J,895
todo_con_todo,5,100,0.9,J,906
todo_con_todo,6,100,0.9,J,852
todo_con_todo,7,100,0.9,J,957
todo_con_todo,8,100,0.9,J,903
todo_con_todo,9,100,0.9,J,923
todo_con_todo,0,100,0.9,EG,6019
todo_con_todo,1,100,0.9,EG,7103
todo_con_todo,2,100,0.9,EG,5775
todo_con_todo,3,100,0.9,EG,5215
todo_con_todo,4,100,0.9,EG,5301
todo_con_todo,5,100,0.9,EG,6198
todo_con_todo,6,100,0.9,EG,5298
todo_con_todo,7,100,0.9,EG,5722
todo_con_todo,8,100,0.9,EG,5123
todo_con_todo,9,100,0.9,EG,5026
todo_con_todo,0,100,1,GS,573
todo_con_todo,1,100,1,GS,562
todo_con_todo,2,100,1,GS,1129
todo_con_todo,3,100,1,GS,554
todo_con_todo,4,100,1,GS,596
todo_con_todo,5,100,1,GS,542
todo_con_todo,6,100,1,GS,585
todo_con_todo,7,100,1,GS,976
todo_con_todo,8,100,1,GS,536
todo_con_todo,9,100,1,GS,1474
todo_con_todo,0,100,1,J,205
todo_con_todo,1,100,1,J,178
todo_con_todo,2,100,1,J,205
todo_con_todo,3,100,1,J,178
todo_con_todo,4,100,1,J,177
todo_con_todo,5,100,1,J,205
todo_con_todo,6,100,1,J,192
todo_con_todo,7,100,1,J,237
todo_con_todo,8,100,1,J,207
todo_con_todo,9,100,1,J,185
todo_con_todo,0,100,1,EG,6960
todo_con_todo,1,100,1,EG,7576
todo_con_todo,2,100,1,EG,6705
todo_con_todo,3,100,1,EG,6486
todo_con_todo,4,100,1,EG,7404
todo_con_todo,5,100,1,EG,6205
todo_con_todo,6,100,1,EG,6445
todo_con_todo,7,100,1,EG,5545
todo_con_todo,8,100,1,EG,6166
todo_con_todo,9,100,1,EG,7187
