familia,rep,tam,dens,metodo,tiempo
uno_a_todos,0,1000,0.01,GS,111
uno_a_todos,1,1000,0.01,GS,92
uno_a_todos,2,1000,0.01,GS,99
uno_a_todos,3,1000,0.01,GS,95
uno_a_todos,4,1000,0.01,GS,90
uno_a_todos,5,1000,0.01,GS,86
uno_a_todos,6,1000,0.01,GS,88
uno_a_todos,7,1000,0.01,GS,92
uno_a_todos,8,1000,0.01,GS,95
uno_a_todos,9,1000,0.01,GS,91
uno_a_todos,0,1000,0.01,J,92
uno_a_todos,1,1000,0.01,J,89
uno_a_todos,2,1000,0.01,J,93
uno_a_todos,3,1000,0.01,J,96
uno_a_todos,4,1000,0.01,J,97
uno_a_todos,5,1000,0.01,J,88
uno_a_todos,6,1000,0.01,J,93
uno_a_todos,7,1000,0.01,J,97
uno_a_todos,8,1000,0.01,J,88
uno_a_todos,9,1000,0.01,J,131
uno_a_todos,0,1000,0.01,EG,4487
uno_a_todos,1,1000,0.01,EG,4493
uno_a_todos,2,1000,0.01,EG,4252
uno_a_todos,3,1000,0.01,EG,4431
uno_a_todos,4,1000,0.01,EG,4398
uno_a_todos,5,1000,0.01,EG,4417
uno_a_todos,6,1000,0.01,EG,4354
uno_a_todos,7,1000,0.01,EG,4610
uno_a_todos,8,1000,0.01,EG,4403
uno_a_todos,9,1000,0.01,EG,5220
uno_a_todos,0,1000,0.05,GS,102
uno_a_todos,1,1000,0.05,GS,119
uno_a_todos,2,1000,0.05,GS,95
uno_a_todos,3,1000,0.05,GS,95
uno_a_todos,4,1000,0.05,GS,120
uno_a_todos,5,1000,0.05,GS,89
uno_a_todos,6,1000,0.05,GS,94
uno_a_todos,7,1000,0.05,GS,118
uno_a_todos,8,1000,0.05,GS,108
uno_a_todos,9,1000,0.05,GS,143
uno_a_todos,0,1000,0.05,J,89
uno_a_todos,1,1000,0.05,J,95
uno_a_todos,2,1000,0.05,J,89
uno_a_todos,3,1000,0.05,J,86
uno_a_todos,4,1000,0.05,J,96
uno_a_todos,5,1000,0.05,J,86
uno_a_todos,6,1000,0.05,J,118
uno_a_todos,7,1000,0.05,J,111
uno_a_todos,8,1000,0.05,J,98
uno_a_todos,9,1000,0.05,J,93
uno_a_todos,0,1000,0.05,EG,4729
uno_a_todos,1,1000,0.05,EG,4572
uno_a_todos,2,1000,0.05,EG,4506
uno_a_todos,3,1000,0.05,EG,4686
uno_a_todos,4,1000,0.05,EG,4486
uno_a_todos,5,1000,0.05,EG,4894
uno_a_todos,6,1000,0.05,EG,4535
uno_a_todos,7,1000,0.05,EG,4543
