familia,rep,tam,dens,metodo,tiempo
viborita,0,1000,10,GS,92
viborita,1,1000,10,GS,94
viborita,2,1000,10,GS,97
viborita,3,1000,10,GS,96
viborita,4,1000,10,GS,113
viborita,5,1000,10,GS,89
viborita,6,1000,10,GS,84
viborita,7,1000,10,GS,81
viborita,8,1000,10,GS,81
viborita,9,1000,10,GS,153
viborita,0,1000,10,J,128
viborita,1,1000,10,J,127
viborita,2,1000,10,J,127
viborita,3,1000,10,J,117
viborita,4,1000,10,J,143
viborita,5,1000,10,J,118
viborita,6,1000,10,J,120
viborita,7,1000,10,J,124
viborita,8,1000,10,J,125
viborita,9,1000,10,J,121
viborita,0,1000,10,EG,1388
viborita,1,1000,10,EG,1450
viborita,2,1000,10,EG,1367
viborita,3,1000,10,EG,1424
viborita,4,1000,10,EG,1781
viborita,5,1000,10,EG,1444
viborita,6,1000,10,EG,1394
viborita,7,1000,10,EG,1298
viborita,8,1000,10,EG,1370
viborita,9,1000,10,EG,1367
viborita,0,1000,50,GS,193
viborita,1,1000,50,GS,160
viborita,2,1000,50,GS,165
viborita,3,1000,50,GS,191
viborita,4,1000,50,GS,155
viborita,5,1000,50,GS,194
viborita,6,1000,50,GS,231
viborita,7,1000,50,GS,225
viborita,8,1000,50,GS,194
viborita,9,1000,50,GS,258
viborita,0,1000,50,J,362
viborita,1,1000,50,J,242
viborita,2,1000,50,J,297
viborita,3,1000,50,J,268
viborita,4,1000,50,J,273
viborita,5,1000,50,J,363
viborita,6,1000,50,J,287
viborita,7,1000,50,J,336
viborita,8,1000,50,J,322
viborita,9,1000,50,J,538
viborita,0,1000,50,EG,1678
viborita,1,1000,50,EG,1714
viborita,2,1000,50,EG,1926
viborita,3,1000,50,EG,1631
viborita,4,1000,50,EG,2130
viborita,5,1000,50,EG,1550
viborita,6,1000,50,EG,1593
viborita,7,1000,50,EG,1684
viborita,8,1000,50,EG,1799
viborita,9,1000,50,EG,2556
viborita,0,1000,100,GS,226
viborita,1,1000,100,GS,190
viborita,2,1000,100,GS,183
viborita,3,1000,100,GS,241
viborita,4,1000,100,GS,184
viborita,5,1000,100,GS,218
viborita,6,1000,100,GS,224
viborita,7,1000,100,GS,177
viborita,8,1000,100,GS,177
viborita,9,1000,100,GS,197
viborita,0,1000,100,J,291
viborita,1,1000,100,J,332
viborita,2,1000,100,J,299
viborita,3,1000,100,J,310
viborita,4,1000,100,J,304
viborita,5,1000,100,J,352
viborita,6,1000,100,J,384
viborita,7,1000,100,J,280
viborita,8,1000,100,J,286
viborita,9,1000,100,J,320
viborita,0,1000,100,EG,2693
viborita,1,1000,100,EG,2195
viborita,2,1000,100,EG,2560
viborita,3,1000,100,EG,2363
viborita,4,1000,100,EG,2177
viborita,5,1000,100,EG,2144
viborita,6,1000,100,EG,2260
viborita,7,1000,100,EG,2159
viborita,8,1000,100,EG,2238
viborita,9,1000,100,EG,2311
viborita,0,1000,300,GS,400
