test,rep,metodo,tiempo
test_15_segundos,0,GS,3427
test_15_segundos,1,GS,999
test_15_segundos,2,GS,892
test_15_segundos,3,GS,1086
test_15_segundos,4,GS,1282
test_15_segundos,5,GS,1033
test_15_segundos,6,GS,1079
test_15_segundos,7,GS,1139
test_15_segundos,8,GS,1179
test_15_segundos,9,GS,3001
test_15_segundos,0,J,2115
test_15_segundos,1,J,1485
test_15_segundos,2,J,1585
test_15_segundos,3,J,1649
test_15_segundos,4,J,1417
test_15_segundos,5,J,1318
test_15_segundos,6,J,2868
test_15_segundos,7,J,1380
test_15_segundos,8,J,2941
test_15_segundos,9,J,1640
test_15_segundos,0,EG,3203024
test_15_segundos,1,EG,3301632
test_15_segundos,2,EG,3067510
test_15_segundos,3,EG,3485598
test_15_segundos,4,EG,3169111
test_15_segundos,5,EG,3078623
test_15_segundos,6,EG,3120213
test_15_segundos,7,EG,3253559
test_15_segundos,8,EG,3292757
test_15_segundos,9,EG,3144606
test_30_segundos,0,GS,1280
test_30_segundos,1,GS,1237
test_30_segundos,2,GS,1048
test_30_segundos,3,GS,1123
test_30_segundos,4,GS,1108
test_30_segundos,5,GS,1060
test_30_segundos,6,GS,994
test_30_segundos,7,GS,1088
test_30_segundos,8,GS,1065
test_30_segundos,9,GS,1046
test_30_segundos,0,J,1935
test_30_segundos,1,J,1642
test_30_segundos,2,J,2131
test_30_segundos,3,J,1858
test_30_segundos,4,J,1616
test_30_segundos,5,J,1570
test_30_segundos,6,J,2027
test_30_segundos,7,J,4624
test_30_segundos,8,J,2105
test_30_segundos,9,J,1548
test_30_segundos,0,EG,8745528
test_30_segundos,1,EG,8721000
test_30_segundos,2,EG,8806559
test_30_segundos,3,EG,8730338
test_30_segundos,4,EG,8074881
test_30_segundos,5,EG,8449840
test_30_segundos,6,EG,8176837
test_30_segundos,7,EG,8526067
test_30_segundos,8,EG,8055650
test_30_segundos,9,EG,8016874
test_aleatorio,0,GS,25
test_aleatorio,1,GS,19
test_aleatorio,2,GS,18
test_aleatorio,3,GS,19
test_aleatorio,4,GS,25
test_aleatorio,5,GS,33
test_aleatorio,6,GS,19
test_aleatorio,7,GS,21
test_aleatorio,8,GS,21
test_aleatorio,9,GS,23
test_aleatorio,0,J,20
test_aleatorio,1,J,28
test_aleatorio,2,J,23
test_aleatorio,3,J,24
test_aleatorio,4,J,19
test_aleatorio,5,J,29
test_aleatorio,6,J,20
test_aleatorio,7,J,21
test_aleatorio,8,J,23
test_aleatorio,9,J,18
test_aleatorio,0,EG,2
test_aleatorio,1,EG,2
test_aleatorio,2,EG,2
test_aleatorio,3,EG,2
test_aleatorio,4,EG,3
test_aleatorio,5,EG,11
test_aleatorio,6,EG,2
test_aleatorio,7,EG,2
test_aleatorio,8,EG,4
test_aleatorio,9,EG,2
test_aleatorio_desordenado,0,GS,20
test_aleatorio_desordenado,1,GS,20
test_aleatorio_desordenado,2,GS,24
test_aleatorio_desordenado,3,GS,27
test_aleatorio_desordenado,4,GS,21
test_aleatorio_desordenado,5,GS,21
test_aleatorio_desordenado,6,GS,17
test_aleatorio_desordenado,7,GS,33
test_aleatorio_desordenado,8,GS,18
test_aleatorio_desordenado,9,GS,33
test_aleatorio_desordenado,0,J,25
test_aleatorio_desordenado,1,J,25
test_aleatorio_desordenado,2,J,18
test_aleatorio_desordenado,3,J,74
test_aleatorio_desordenado,4,J,30
test_aleatorio_desordenado,5,J,20
test_aleatorio_desordenado,6,J,18
test_aleatorio_desordenado,7,J,18
test_aleatorio_desordenado,8,J,27
test_aleatorio_desordenado,9,J,19
test_aleatorio_desordenado,0,EG,4
test_aleatorio_desordenado,1,EG,3
test_aleatorio_desordenado,2,EG,3
test_aleatorio_desordenado,3,EG,2
test_aleatorio_desordenado,4,EG,2
test_aleatorio_desordenado,5,EG,2
test_aleatorio_desordenado,6,EG,2
test_aleatorio_desordenado,7,EG,5
test_aleatorio_desordenado,8,EG,3
test_aleatorio_desordenado,9,EG,2
test_completo,0,GS,19
test_completo,1,GS,26
test_completo,2,GS,28
test_completo,3,GS,20
test_completo,4,GS,23
test_completo,5,GS,19
test_completo,6,GS,20
test_completo,7,GS,20
test_completo,8,GS,20
test_completo,9,GS,20
test_completo,0,J,20
test_completo,1,J,18
test_completo,2,J,17
test_completo,3,J,21
test_completo,4,J,55
test_completo,5,J,18
test_completo,6,J,49
test_completo,7,J,20
test_completo,8,J,18
test_completo,9,J,18
test_completo,0,EG,2
test_completo,1,EG,2
test_completo,2,EG,7
test_completo,3,EG,2
test_completo,4,EG,2
test_completo,5,EG,3
test_completo,6,EG,2
test_completo,7,EG,2
test_completo,8,EG,3
test_completo,9,EG,3
test_sin_links,0,GS,19
test_sin_links,1,GS,18
test_sin_links,2,GS,17
test_sin_links,3,GS,18
test_sin_links,4,GS,19
test_sin_links,5,GS,16
test_sin_links,6,GS,18
test_sin_links,7,GS,17
test_sin_links,8,GS,23
test_sin_links,9,GS,19
test_sin_links,0,J,21
test_sin_links,1,J,21
test_sin_links,2,J,26
test_sin_links,3,J,18
test_sin_links,4,J,19
test_sin_links,5,J,18
test_sin_links,6,J,18
test_sin_links,7,J,39
test_sin_links,8,J,22
test_sin_links,9,J,18
test_sin_links,0,EG,0
test_sin_links,1,EG,1
test_sin_links,2,EG,1
test_sin_links,3,EG,0
test_sin_links,4,EG,1
test_sin_links,5,EG,1
test_sin_links,6,EG,0
test_sin_links,7,EG,1
test_sin_links,8,EG,1
test_sin_links,9,EG,1
test_trivial,0,GS,18
test_trivial,1,GS,21
test_trivial,2,GS,17
test_trivial,3,GS,22
test_trivial,4,GS,23
test_trivial,5,GS,23
test_trivial,6,GS,22
test_trivial,7,GS,20
test_trivial,8,GS,25
test_trivial,9,GS,18
test_trivial,0,J,35
test_trivial,1,J,26
test_trivial,2,J,18
test_trivial,3,J,19
test_trivial,4,J,35
test_trivial,5,J,23
test_trivial,6,J,34
test_trivial,7,J,18
test_trivial,8,J,17
test_trivial,9,J,18
test_trivial,0,EG,0
test_trivial,1,EG,0
test_trivial,2,EG,0
test_trivial,3,EG,0
test_trivial,4,EG,0
test_trivial,5,EG,0
test_trivial,6,EG,0
test_trivial,7,EG,0
test_trivial,8,EG,2
test_trivial,9,EG,0
